"id" "session" "task_type" "temp_ori" "trial" "X1" "E1" "X2" "E2" "EffortfulOptionChosen" "rt"
"196" "AF7HCRC2" "2" "Real" "Prospective" "6" 14 0 15 175 0 2.00839540001471
"197" "DZ4HCRC1" "1" "Hypothetical" "Prospective" "2" 7.5 0 15 115 0 2.68385134622395
"198" "DZ4HCRC1" "1" "Hypothetical" "Prospective" "2" 6.5 0 15 115 0 1.4571644143557
"199" "DZ4HCRC1" "1" "Hypothetical" "Prospective" "2" 5.5 0 15 115 0 1.69826899847112
"200" "DZ4HCRC1" "1" "Hypothetical" "Prospective" "2" 4.5 0 15 115 0 0.911606275370559
"201" "DZ4HCRC1" "1" "Hypothetical" "Prospective" "2" 2.5 0 15 115 0 2.01976043769855
"202" "DZ4HCRC1" "1" "Hypothetical" "Prospective" "3" 7.5 0 15 45 0 3.31918034785485
"203" "DZ4HCRC1" "1" "Hypothetical" "Prospective" "3" 6.5 0 15 45 0 1.5640381617759
"204" "DZ4HCRC1" "1" "Hypothetical" "Prospective" "3" 5.5 0 15 45 0 2.47950465328313
"205" "DZ4HCRC1" "1" "Hypothetical" "Prospective" "3" 4.5 0 15 45 0 0.799723141765298
"206" "DZ4HCRC1" "1" "Hypothetical" "Prospective" "3" 2.5 0 15 45 0 2.6331077912173
"207" "DZ4HCRC1" "1" "Hypothetical" "Prospective" "3" 0.5 0 15 45 1 4.1090467517829
"208" "DZ4HCRC1" "1" "Hypothetical" "Prospective" "3" 2.5 0 15 45 1 1.27869130835597
"209" "DZ4HCRC1" "1" "Hypothetical" "Prospective" "3" 4.5 0 15 45 0 1.13925079711044
"210" "DZ4HCRC1" "1" "Hypothetical" "Prospective" "3" 3.5 0 15 45 0 1.4525835955119
"211" "DZ4HCRC1" "1" "Hypothetical" "Prospective" "3" 2.5 0 15 45 0 1.12364976407025
"212" "DZ4HCRC1" "1" "Hypothetical" "Prospective" "3" 0.5 0 15 45 1 1.39643909678671
"213" "DZ4HCRC1" "1" "Hypothetical" "Prospective" "3" 1.5 0 15 45 1 2.28392461942076
